Road ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
R1,157,3,283,High
R2,213,1,176,Low
R3,98,4,412,High
R4,245,2,89,Low
R5,184,5,321,High
R6,112,3,256,Low
R7,276,2,167,High
R8,193,4,345,Low
R9,129,1,201,High
R10,267,5,289,Low
R11,145,2,123,High
R12,231,3,378,Low
R13,178,4,92,High
R14,209,1,456,Low
R15,103,5,134,High
R16,288,2,278,Low
R17,152,3,189,High
R18,224,4,423,Low
R19,137,1,145,High
R20,261,5,301,Low
R21,196,2,87,High
R22,118,3,389,Low
R23,273,4,211,High
R24,185,1,298,Low
R25,241,5,176,High
R26,106,2,432,Low
R27,294,3,109,High
R28,169,4,367,Low
R29,237,1,245,High
R30,125,5,398,Low
R31,252,2,132,High
R32,191,3,287,Low
R33,143,4,421,High
R34,279,1,198,Low
R35,162,5,356,High
R36,219,2,78,Low
R37,95,3,412,High
R38,286,4,267,Low
R39,174,1,189,High
R40,233,5,345,Low
R41,131,2,123,High
R42,258,3,478,Low
R43,202,4,201,High
R44,89,1,312,Low
R45,271,5,156,High
R46,148,2,389,Low
R47,226,3,234,High
R48,115,4,401,Low
R49,297,1,178,High
R50,181,5,323,Low
